Description,UPC,Store,LOOKUP,CAT,"In Set, LTO, Sub",SOUTH VENDOR,S VIN,NORTH VENDOR,N VIN,Comments
ANGRY ORCH 6PK BTL,087692821021,11,ANGRY ORCH 6PK BTL11,BEER,,FABIANO,81303,ALPENA,6602,
ARNOLD PALMER SPIKED HALF HALF 24OZ,613008748296,11,ARNOLD PALMER SPIKED HALF HALF 24OZ11,BEER,,JPO,1910,GRIFFIN,4608,
BELLS OBERON 12PK,740522110664,11,BELLS OBERON 12PK11,BEER,,FABIANO,7556,GRIFFIN,2919,
BELLS SEASONAL 6PK BTL,740522100160,11,BELLS SEASONAL 6PK BTL11,BEER,,FABIANO,7710,GRIFFIN,1505,
BELLS TWO HEARTED 12PK,740522110862,11,BELLS TWO HEARTED 12PK11,BEER,,FABIANO,7896,GRIFFIN,3149,
BELLS TWO HEARTED 19OZ,740522120861,11,BELLS TWO HEARTED 19OZ11,BEER,,FABIANO,7589,GRIFFIN,6656,
BELLS TWO HEARTED 6PK B,740522100832,11,BELLS TWO HEARTED 6PK B11,BEER,,FABIANO,7709,GRIFFIN,1503,
BLIND LEMON VP 12PK,810117130923,11,BLIND LEMON VP 12PK11,BEER,,FABIANO,58290,GRIFFIN,9384,
BLUE MOON 12PK BTL,071990095161,11,BLUE MOON 12PK BTL11,BEER,,JPO,12304,ALPENA,1251,
BLUE MOON 6PK BTL,071990095116,11,BLUE MOON 6PK BTL11,BEER,,JPO,12302,ALPENA,1265,
BLUE MOON EXTRA 19OZ,071990001360,11,BLUE MOON EXTRA 19OZ11,BEER,,JPO,143,ALPENA,1319,
BUD 12OZ 18PK,018200112188,11,BUD 12OZ 18PK11,BEER,,FABIANO,1118,GRIFFIN,20,
BUD 12PK BTL,018200007712,11,BUD 12PK BTL11,BEER,,FABIANO,1103,GRIFFIN,12,
BUD 15PK,018200113154,11,BUD 15PK11,BEER,,FABIANO,1185,GRIFFIN,680,
BUD 16OZ 8PK,018200089817,11,BUD 16OZ 8PK11,BEER,,FABIANO,1157,SOUTHERN PRODUCT,,
BUD 24PK,018200111686,11,BUD 24PK11,BEER,,FABIANO,1109,GRIFFIN,18,
BUD 25OZ,018200250002,11,BUD 25OZ11,BEER,,FABIANO,1155,GRIFFIN,109,
BUD 6PK BTL,018200008344,11,BUD 6PK BTL11,BEER,,FABIANO,1102,GRIFFIN,11,
BUD CHELADA 25OZ,018200255090,11,BUD CHELADA 25OZ11,BEER,,FABIANO,1156,GRIFFIN,6100,
BUD ICE 25OZ,018200250064,11,BUD ICE 25OZ11,BEER,,FABIANO,1255,GRIFFIN,117,
BUD LGHT ALUM 16OZ 8PK,018200209987,11,BUD LGHT ALUM 16OZ 8PK11,BEER,,FABIANO,2163,GRIFFIN,112,
BUD LIGHT 12OZ 18PK,018200532184,11,BUD LIGHT 12OZ 18PK11,BEER,,FABIANO,2118,SOUTHERN PRODUCT,,
BUD LIGHT 12PK BTL,018200007699,11,BUD LIGHT 12PK BTL11,BEER,,FABIANO,2103,GRIFFIN,47,
BUD LIGHT 15PK,018200533150,11,BUD LIGHT 15PK11,BEER,,FABIANO,2185,GRIFFIN,681,
BUD LIGHT 16OZ 8PK,018200089893,11,BUD LIGHT 16OZ 8PK11,BEER,,FABIANO,2157,SOUTHERN PRODUCT,,
BUD LIGHT 20PK BTL,018200530258,11,BUD LIGHT 20PK BTL11,BEER,,FABIANO,2120,GRIFFIN,551,
BUD LIGHT 24PK,018200531682,11,BUD LIGHT 24PK11,BEER,,FABIANO,2109,GRIFFIN,51,
BUD LIGHT 25OZ,018200250019,11,BUD LIGHT 25OZ11,BEER,,FABIANO,2155,GRIFFIN,110,
BUD LIGHT 6PK,018200001062,11,BUD LIGHT 6PK11,BEER,,FABIANO,2108,GRIFFIN,49,
BUD LIGHT 6PK BTL,018200008337,11,BUD LIGHT 6PK BTL11,BEER,,FABIANO,2102,GRIFFIN,46,
BUD LIGHT CHELADA 25OZ,018200255083,11,BUD LIGHT CHELADA 25OZ11,BEER,,FABIANO,2156,GRIFFIN,6102,
BUSCH 12PK,018200610479,11,BUSCH 12PK11,BEER,,FABIANO,3110,GRIFFIN,147,
BUSCH 16OZ 6PK,018200000638,11,BUSCH 16OZ 6PK11,BEER,,FABIANO,3111,GRIFFIN,149,
BUSCH 18PK,018200612183,11,BUSCH 18PK11,BEER,,FABIANO,3118,GRIFFIN,57,
BUSCH 25OZ,018200250033,11,BUSCH 25OZ11,BEER,,FABIANO,3155,GRIFFIN,144,
BUSCH 30PK,018200610301,11,BUSCH 30PK11,BEER,,FABIANO,3130,GRIFFIN,239,
BUSCH ICE 25OZ,018200250071,11,BUSCH ICE 25OZ11,BEER,,FABIANO,3455,GRIFFIN,449,
BUSCH LIGHT 12PK,018200008016,11,BUSCH LIGHT 12PK11,BEER,,FABIANO,3210,GRIFFIN,152,
BUSCH LIGHT 12PK BTL,018200009891,11,BUSCH LIGHT 12PK BTL11,BEER,,FABIANO,3203,GRIFFIN,165,
BUSCH LIGHT 16OZ 12PK,018200202407,11,BUSCH LIGHT 16OZ 12PK11,BEER,,FABIANO,3261,GRIFFIN,9092,
BUSCH LIGHT 16OZ 6PK,018200004261,11,BUSCH LIGHT 16OZ 6PK11,BEER,,FABIANO,3211,GRIFFIN,154,
BUSCH LIGHT 18PK,018200864186,11,BUSCH LIGHT 18PK11,BEER,,FABIANO,3218,GRIFFIN,69,
BUSCH LIGHT 25OZ,018200250040,11,BUSCH LIGHT 25OZ11,BEER,,FABIANO,3255,GRIFFIN,237,
BUSCH LIGHT 30PK,018200860317,11,BUSCH LIGHT 30PK11,BEER,,FABIANO,3230,GRIFFIN,238,
BUSCH LIGHT 6PK BTL,018200008030,11,BUSCH LIGHT 6PK BTL11,BEER,,FABIANO,3202,GRIFFIN,150,
CAPTAIN MORGAN COLADA VP 12PK,082000812319,11,CAPTAIN MORGAN COLADA VP 12PK11,BEER,,FABIANO,50804,GRIFFIN,9746,
CARBLISS BLACK RASP 4PK,860001338553,11,CARBLISS BLACK RASP 4PK11,BEER,,JPO,99973,ALPENA,7030,
CARBLISS TROPICAL VP 8PK,860012130122,11,CARBLISS TROPICAL VP 8PK11,BEER,,JPO,99988,ALPENA,107039,
CARBLISS VP 8PK,860007988837,11,CARBLISS VP 8PK11,BEER,,JPO,99966,ALPENA,107046,
CARBLISS VP2 8PK,860007988882,11,CARBLISS VP2 8PK11,BEER,,JPO,99884,ALPENA,108056,
CIDER BOYS STRAWB 6PK B,088733900125,11,CIDER BOYS STRAWB 6PK B11,BEER,,JPO,6126,ALPENA,1080,
COORS BANQ 18PK,071990100209,11,COORS BANQ 18PK11,BEER,,JPO,12024,SOUTHERN PRODUCT,,
COORS BANQUET 24PK,071990116002,11,COORS BANQUET 24PK11,BEER,,JPO,12020,ALPENA,1105,
COORS LIGHT 12PK BTL,071990300692,11,COORS LIGHT 12PK BTL11,BEER,,JPO,12104,ALPENA,1282,
COORS LIGHT 15PK,071990301071,11,COORS LIGHT 15PK11,BEER,,JPO,12128,ALPENA,1244,
COORS LIGHT 16OZ 8PK,071990170462,11,COORS LIGHT 16OZ 8PK11,BEER,,JPO,12146,SOUTHERN PRODUCT,,
COORS LIGHT 18PK,071990300173,11,COORS LIGHT 18PK11,BEER,,JPO,12124,ALPENA,1234,
COORS LIGHT 24OZ,071990300654,11,COORS LIGHT 24OZ11,BEER,,JPO,12134,ALPENA,1206,
COORS LIGHT 24PK,071990316006,11,COORS LIGHT 24PK11,BEER,,JPO,12120,ALPENA,1205,
COORS LIGHT 6PK BTL,071990300050,11,COORS LIGHT 6PK BTL11,BEER,,JPO,12102,ALPENA,1227,
COORS LIGHT ALUM 16OZ 15PK,071990095277,11,COORS LIGHT ALUM 16OZ 15PK11,BEER,,JPO,12117,ALPENA,12761,
COORS LIGHT ALUM 16OZ 9PK,071990301040,11,COORS LIGHT ALUM 16OZ 9PK11,BEER,,JPO,12116,ALPENA,1211,
COORS LIGHT STBY 6PK,071990170288,11,COORS LIGHT STBY 6PK11,BEER,,JPO,12002,ALPENA,1125,
CORONA 12PK BTL,080660956152,11,CORONA 12PK BTL11,BEER,,FABIANO,80803,ALPENA,3828,
CORONA 6PK BTL,080660956053,11,CORONA 6PK BTL11,BEER,,FABIANO,80802,ALPENA,3820,
FIREBALL 50ml,088004040888,11,FIREBALL 50ml11,BEER,,FABIANO,71600,GRIFFIN,5381,
FOUNDERS ALL DAY 15PK,642860900245,11,FOUNDERS ALL DAY 15PK11,BEER,,FABIANO,29830,GRIFFIN,1429,
GOODBOY GOLF VP 8PK,850041804316,11,GOODBOY GOLF VP 8PK11,BEER,,FABIANO,82224,GRIFFIN,9778,
GOODBOY JOHN D 20OZ,850041804354,11,GOODBOY JOHN D 20OZ11,BEER,,FABIANO,82215,GRIFFIN,9372,
GOODBOY SELTZER VP 8PK,850041804156,11,GOODBOY SELTZER VP 8PK11,BEER,,FABIANO,82209,GRIFFIN,8099,
GOODBOY TEA VP 8PK,850041804163,11,GOODBOY TEA VP 8PK11,BEER,,FABIANO,82208,GRIFFIN,8098,
HIGH NOON SELTZER TROPICAL VP 8PK,085000032558,11,HIGH NOON SELTZER TROPICAL VP 8PK11,BEER,,GLWAS,203946,GLWAS,203946,
HIGH NOON TEQUILA FIESTA VP 8PK,085000037393,11,HIGH NOON TEQUILA FIESTA VP 8PK11,BEER,,GLWAS,208176,GLWAS,208176,
HIGH NOON TEQUILA VP 8PK,085000036099,11,HIGH NOON TEQUILA VP 8PK11,BEER,,GLWAS,206240,GLWAS,206240,
HIGH NOON VP 8PK,085000031513,11,HIGH NOON VP 8PK11,BEER,,GLWAS,202495,GLWAS,202495,
KEYSTONE LIGHT 24PK,071990480066,11,KEYSTONE LIGHT 24PK11,BEER,,JPO,12442,ALPENA,1606,
LABATT BLUE 16OZ 12PK,070310015377,11,LABATT BLUE 16OZ 12PK11,BEER,,FABIANO,82414,GRIFFIN,9682,
LABATT BLUE 24OZ,062067051623,11,LABATT BLUE 24OZ11,BEER,,FABIANO,82406,GRIFFIN,1342,
LABATT BLUE 24PK,062067051418,11,LABATT BLUE 24PK11,BEER,,FABIANO,82409,GRIFFIN,1330,
LABATT BLUE 6PK BTL,062067051722,11,LABATT BLUE 6PK BTL11,BEER,,FABIANO,82402,GRIFFIN,1326,
LABATT LIGHT 16OZ 12PK,070310015384,11,LABATT LIGHT 16OZ 12PK11,BEER,,FABIANO,82489,GRIFFIN,9683,
LABATT LIGHT 24OZ,062067049620,11,LABATT LIGHT 24OZ11,BEER,,FABIANO,82606,GRIFFIN,1339,
LABATT LIGHT 24PK,062067049415,11,LABATT LIGHT 24PK11,BEER,,FABIANO,82609,GRIFFIN,1335,
LEINENKUGEL SEASONAL 12PK,034100516079,11,LEINENKUGEL SEASONAL 12PK11,BEER,,JPO,45274,ALPENA,5974,
LEINENKUGEL SEASONAL 6PK BTL,034100516055,11,LEINENKUGEL SEASONAL 6PK BTL11,BEER,,JPO,45205,ALPENA,7205,
LONG DRINK 6PK,860272001446,11,LONG DRINK 6PK11,BEER,,JPO,89090,GRIFFIN,7425,
LONG DRINK CRANBERRY 6PK,860272001484,11,LONG DRINK CRANBERRY 6PK11,BEER,,JPO,89092,GRIFFIN,7427,
LONG DRINK PINEAPPLE 6PK,860013382063,11,LONG DRINK PINEAPPLE 6PK11,BEER,,JPO,89122,GRIFFIN,9664,
LONG DRINK VP 8PK,860007994166,11,LONG DRINK VP 8PK11,BEER,,JPO,89089,GRIFFIN,7886,
LONG DRINK ZERO 19OZ,860013382018,11,LONG DRINK ZERO 19OZ11,BEER,,JPO,89060,GRIFFIN,9307,
LONG DRINK ZERO 6PK,860272001439,11,LONG DRINK ZERO 6PK11,BEER,,JPO,89091,GRIFFIN,7426,
LONG DRINK ZERO VP 12PK,860010793862,11,LONG DRINK ZERO VP 12PK11,BEER,,JPO,89066,GRIFFIN,9108,
MICH ULTRA 16OZ 4PK,018200005244,11,MICH ULTRA 16OZ 4PK11,BEER,,FABIANO,7164,GRIFFIN,9962,
MICH ULTRA 18PK,018200967214,11,MICH ULTRA 18PK11,BEER,,FABIANO,7118,GRIFFIN,228,
MICH ULTRA 20PK,018200967511,11,MICH ULTRA 20PK11,BEER,,FABIANO,7120,GRIFFIN,6388,
MICH ULTRA 24PK,018200967153,11,MICH ULTRA 24PK11,BEER,,FABIANO,7109,GRIFFIN,223,
MICH ULTRA 25OZ,018200250101,11,MICH ULTRA 25OZ11,BEER,,FABIANO,7155,GRIFFIN,189,
MICH ULTRA 6PK B,018200059896,11,MICH ULTRA 6PK B11,BEER,,FABIANO,7102,GRIFFIN,193,
MICH ULTRA 8PK,018200239861,11,MICH ULTRA 8PK11,BEER,,FABIANO,7157,GRIFFIN,6790,
MIKES HARDER BLK CHERRY 24OZ,635985132158,11,MIKES HARDER BLK CHERRY 24OZ11,BEER,,JPO,16301,ALPENA,7446,
MIKES HARDER DIRTY LEM 12PK,635985000891,11,MIKES HARDER DIRTY LEM 12PK11,BEER,,JPO,93700,ALPENA,9822,
MIKES HARDER LEMONADE 24OZ,635985245834,11,MIKES HARDER LEMONADE 24OZ11,BEER,,JPO,16189,ALPENA,6046,
MIKES HARDER PINK 24OZ,635985000631,11,MIKES HARDER PINK 24OZ11,BEER,,JPO,16208,ALPENA,6146,
MIKES PINK LEM 6PK,635985000389,11,MIKES PINK LEM 6PK11,BEER,,JPO,94214,ALPENA,9414,
MILLER HIGH LIFE 30PK,034100013417,11,MILLER HIGH LIFE 30PK11,BEER,,JPO,1341,ALPENA,141,
MILLER HIGH LIFE 6PK,034100015053,11,MILLER HIGH LIFE 6PK11,BEER,,JPO,1205,ALPENA,105,
MILLER LITE 15PK,034100573447,11,MILLER LITE 15PK11,BEER,,JPO,57354,ALPENA,5744,
MILLER LITE 16OZ 8PK,034100516437,11,MILLER LITE 16OZ 8PK11,BEER,,JPO,57356,SOUTHERN PRODUCT,,
MILLER LITE 18 PK,034100573409,11,MILLER LITE 18 PK11,BEER,,JPO,57340,ALPENA,5734,
MILLER LITE 24OZ,034100003555,11,MILLER LITE 24OZ11,BEER,,JPO,57346,ALPENA,5746,
MILLER LITE 24PK,034100573065,11,MILLER LITE 24PK11,BEER,,JPO,57306,ALPENA,5706,
MILLER LITE 6PK BTL,034100575052,11,MILLER LITE 6PK BTL11,BEER,,JPO,57205,ALPENA,5705,
MILLER LITE ALUM 16OZ 15PK,034100577070,11,MILLER LITE ALUM 16OZ 15PK11,BEER,,JPO,57348,ALPENA,5776,
MILLER LITE ALUM 16OZ 9PK BTL,034100570231,11,MILLER LITE ALUM 16OZ 9PK BTL11,BEER,,JPO,57347,ALPENA,5711,
MILW BEST ICE 24OZ,034100008208,11,MILW BEST ICE 24OZ11,BEER,,JPO,30346,ALPENA,3046,
MODELO 24OZ,080660957210,11,MODELO 24OZ11,BEER,,FABIANO,87706,ALPENA,3924,
MODELO 6PK,080660957654,11,MODELO 6PK11,BEER,,FABIANO,87702,ALPENA,3845,
MODELO CHELADA 24OZ,080660957968,11,MODELO CHELADA 24OZ11,BEER,,FABIANO,87745,ALPENA,3934,
MTN DEW BAJA HARD 24OZ,840262400077,11,MTN DEW BAJA HARD 24OZ11,BEER,,FABIANO,81470,ALPENA,7724,
MTN DEW CODE RED HARD 24OZ,087692018742,11,MTN DEW CODE RED HARD 24OZ11,BEER,,FABIANO,81476,ALPENA,4324,
NAT DADDY 25OZ,018200250132,11,NAT DADDY 25OZ11,BEER,,FABIANO,4355,GRIFFIN,180,
NAT ICE 25OZ,018200250088,11,NAT ICE 25OZ11,BEER,,FABIANO,4255,GRIFFIN,176,
NAT LIGHT 25OZ,018200250026,11,NAT LIGHT 25OZ11,BEER,,FABIANO,4155,GRIFFIN,178,
NBB VOODOO G FORCE 19OZ,754527012779,11,NBB VOODOO G FORCE 19OZ11,BEER,,FABIANO,48244,GRIFFIN,9704,
NUTRL CRANBERRY VP 8PK,018200203381,11,NUTRL CRANBERRY VP 8PK11,BEER,,FABIANO,10279,GRIFFIN,7404,
NUTRL FRUIT VP 8PK,018200203527,11,NUTRL FRUIT VP 8PK11,BEER,,FABIANO,10277,GRIFFIN,7295,
NUTRL FRUIT VP2 8PK,018200204678,11,NUTRL FRUIT VP2 8PK11,BEER,,FABIANO,10296,GRIFFIN,9795,
NUTRL STRAWBERRY 4PK,018200204470,11,NUTRL STRAWBERRY 4PK11,BEER,,FABIANO,10290,GRIFFIN,8999,
PBR 25OZ,022100000049,11,PBR 25OZ11,BEER,,FABIANO,34512,GRIFFIN,9365,
PBR 30PK,022100112193,11,PBR 30PK11,BEER,,FABIANO,34530,GRIFFIN,1103,
PBR 6PK BTL,022100002890,11,PBR 6PK BTL11,BEER,,FABIANO,34502,GRIFFIN,1116,
REDDS APPLE 6PK BTL,034100087166,11,REDDS APPLE 6PK BTL11,BEER,,JPO,6400,ALPENA,205,
REDDS APPLE BITES 12PK,034100014155,11,REDDS APPLE BITES 12PK11,BEER,,JPO,6405,ALPENA,275,
REDDS WICKED APPLE 24OZ,034100003234,11,REDDS WICKED APPLE 24OZ11,BEER,,JPO,6458,ALPENA,546,
SAM ADAMS CHERRY WHEAT 6PK,087692271024,11,SAM ADAMS CHERRY WHEAT 6PK11,BEER,,FABIANO,81202,ALPENA,8102,
SAM ADAMS SEASONAL 6PK,087692300502,11,SAM ADAMS SEASONAL 6PK11,BEER,,FABIANO,81172,ALPENA,8101,
SIMPLY SPIKED BOLD CHERRY LIME 24OZ,810078781820,11,SIMPLY SPIKED BOLD CHERRY LIME 24OZ11,BEER,,JPO,99937,ALPENA,8524,
SIMPLY SPIKED BOLD LEMONADE 24OZ,810078781806,11,SIMPLY SPIKED BOLD LEMONADE 24OZ11,BEER,,JPO,99938,ALPENA,8624,
SIMPLY SPIKED BOLD VP 12PK,810078782636,11,SIMPLY SPIKED BOLD VP 12PK11,BEER,,JPO,94393,ALPENA,3622,
SMIRNOFF ICE ISLA 12PK,082000813040,11,SMIRNOFF ICE ISLA 12PK11,BEER,,FABIANO,50638,GRIFFIN,9743,
SMIRNOFF ICE STRAW SUN 6PK B,082000813026,11,SMIRNOFF ICE STRAW SUN 6PK B11,BEER,,FABIANO,50639,GRIFFIN,9742,
SMIRNOFF SEASONAL 6PK 1,082000782506,11,SMIRNOFF SEASONAL 6PK 111,BEER,,FABIANO,50011,GRIFFIN,1460,
SMIRNOFF SMASH PEACH MNGO 24OZ,082000786252,11,SMIRNOFF SMASH PEACH MNGO 24OZ11,BEER,,FABIANO,50442,GRIFFIN,240,
SMIRNOFF SMASH STRAW PASS 24OZ,082000814368,11,SMIRNOFF SMASH STRAW PASS 24OZ11,BEER,,FABIANO,50641,GRIFFIN,9745,
SMIRNOFF SUNNY VP 12PK,082000809098,11,SMIRNOFF SUNNY VP 12PK11,BEER,,FABIANO,50636,GRIFFIN,9115,
SMIRNOFFNOFF RWB SMASH 23.5OZ,082000795223,11,SMIRNOFFNOFF RWB SMASH 23.5OZ11,BEER,,FABIANO,50456,GRIFFIN,6098,
SPIKED ADE VP 8PK,850069783068,11,SPIKED ADE VP 8PK11,BEER,,JPO,98000,ALPENA,103238,
STELLA 6PK,786150000014,11,STELLA 6PK11,BEER,,FABIANO,26004,GRIFFIN,1812,
SUN CRUISER LEMON VP 8PK,087692021544,11,SUN CRUISER LEMON VP 8PK11,BEER,,FABIANO,82055,ALPENA,106438,
SUN CRUISER TEA 570ml,087692024040,11,SUN CRUISER TEA 570ml11,BEER,,FABIANO,82075,ALPENA,107519,
SUN CRUISER TEA VP 8PK,087692020301,11,SUN CRUISER TEA VP 8PK11,BEER,,FABIANO,82052,ALPENA,106328,
SUN CRUISER VP 12PK,087692024415,11,SUN CRUISER VP 12PK11,BEER,,FABIANO,82070,ALPENA,106458,
SURFSIDE LEMONADE VP 8PK,850050071082,11,SURFSIDE LEMONADE VP 8PK11,BEER,,JPO,97499,ALPENA,103138,
SURFSIDE VP 8PK,850025605564,11,SURFSIDE VP 8PK11,BEER,,JPO,97503,ALPENA,103038,
TRULY BERRY VP 12PK,087692006862,11,TRULY BERRY VP 12PK11,BEER,,FABIANO,81911,ALPENA,4804,
TRULY LEMON VP 12PK,087692009917,11,TRULY LEMON VP 12PK11,BEER,,FABIANO,81916,ALPENA,5012,
TRULY PINEAPPLE 24OZ,087692009702,11,TRULY PINEAPPLE 24OZ11,BEER,,FABIANO,81941,ALPENA,5224,
TRULY UNRULY TROPICAL 24OZ,087692021063,11,TRULY UNRULY TROPICAL 24OZ11,BEER,,FABIANO,82023,ALPENA,5724,
TRULY UNRULY VP 12PK,087692019046,11,TRULY UNRULY VP 12PK11,BEER,,FABIANO,81923,ALPENA,6322,
TRULY WILDBRY 24OZ,087692009511,11,TRULY WILDBRY 24OZ11,BEER,,FABIANO,81940,ALPENA,4024,
TWISTED EXTREME BLUE RAZ 24OZ,087692017820,11,TWISTED EXTREME BLUE RAZ 24OZ11,BEER,,FABIANO,82081,ALPENA,7344,
TWISTED EXTREME LEMON 24OZ,087692017837,11,TWISTED EXTREME LEMON 24OZ11,BEER,,FABIANO,82080,ALPENA,7444,
TWISTED EXTREME VP 12PK,087692023722,11,TWISTED EXTREME VP 12PK11,BEER,,FABIANO,82082,ALPENA,7332,
TWISTED TEA 12PK,087692831341,11,TWISTED TEA 12PK11,BEER,,FABIANO,82110,ALPENA,7412,
TWISTED TEA 16OZ 4PK,087692023159,11,TWISTED TEA 16OZ 4PK11,BEER,,FABIANO,82029,ALPENA,7426,
TWISTED TEA 24OZ,087692832317,11,TWISTED TEA 24OZ11,BEER,,FABIANO,82106,ALPENA,8024,
TWISTED TEA BLACK CHERRY 24OZ,087692010753,11,TWISTED TEA BLACK CHERRY 24OZ11,BEER,,FABIANO,82136,ALPENA,7324,
TWISTED TEA HALF & HALF 12PK,087692751342,11,TWISTED TEA HALF & HALF 12PK11,BEER,,FABIANO,82121,ALPENA,7425,
TWISTED TEA HALF & HALF 24OZ,087692752318,11,TWISTED TEA HALF & HALF 24OZ11,BEER,,FABIANO,82006,ALPENA,7424,
TWISTED TEA LIGHT 12PK,087692006701,11,TWISTED TEA LIGHT 12PK11,BEER,,FABIANO,82192,ALPENA,9012,
TWISTED TEA LIGHT 16OZ 4PK,087692023203,11,TWISTED TEA LIGHT 16OZ 4PK11,BEER,,FABIANO,82028,ALPENA,7566,
TWISTED TEA LIGHT VP 12PK,087692015161,11,TWISTED TEA LIGHT VP 12PK11,BEER,,FABIANO,82198,ALPENA,9025,
TWISTED TEA PEACH 24OZ,087692004905,11,TWISTED TEA PEACH 24OZ11,BEER,,FABIANO,82101,ALPENA,5924,
TWISTED TEA RASP 24OZ,087692852315,11,TWISTED TEA RASP 24OZ11,BEER,,FABIANO,82126,ALPENA,7124,
TWISTED TEA VP 12PK,087692003786,11,TWISTED TEA VP 12PK11,BEER,,FABIANO,82130,ALPENA,7525,
WHITE CLAW BLACK CHERRY 19OZ,635985801986,11,WHITE CLAW BLACK CHERRY 19OZ11,BEER,,JPO,15130,ALPENA,6719,
WHITE CLAW BLACKBERRY 19OZ,635985801993,11,WHITE CLAW BLACKBERRY 19OZ11,BEER,,JPO,99954,ALPENA,6419,
WHITE CLAW GRAPE 6PK,635985803645,11,WHITE CLAW GRAPE 6PK11,BEER,,JPO,15211,ALPENA,7225,
WHITE CLAW MANGO 19OZ,635985802136,11,WHITE CLAW MANGO 19OZ11,BEER,,JPO,15128,ALPENA,6819,
WHITE CLAW VP1 12PK,635985548904,11,WHITE CLAW VP1 12PK11,BEER,,JPO,937,ALPENA,6715,
WHITE CLAW VP3 12PK,635985800262,11,WHITE CLAW VP3 12PK11,BEER,,JPO,935,ALPENA,6722,
YUENGLING 12PK B,089924278962,11,YUENGLING 12PK B11,BEER,,JPO,20056,ALPENA,1951,
YUENGLING 24OZ,089924600244,11,YUENGLING 24OZ11,BEER,,JPO,20059,ALPENA,1908,
YUENGLING 24PK,089924880073,11,YUENGLING 24PK11,BEER,,JPO,20055,ALPENA,1906,
YUENGLING 6PK B,089924278917,11,YUENGLING 6PK B11,BEER,,JPO,20061,ALPENA,1925,
YUENGLING BLACK & TAN 12PK,089924266907,11,YUENGLING BLACK & TAN 12PK11,BEER,,JPO,20070,ALPENA,1902,
YUENGLING FLIGHT 12PK B,089924770138,11,YUENGLING FLIGHT 12PK B11,BEER,,JPO,20067,ALPENA,1928,
YUENGLING FLIGHT 24PK,089924770237,11,YUENGLING FLIGHT 24PK11,BEER,,JPO,20066,ALPENA,1996,
YUENGLING FLIGHT 6PK B,089924770145,11,YUENGLING FLIGHT 6PK B11,BEER,,JPO,20071,ALPENA,1955,
A&W ROOTBEER 20OZ,078000052404,11,A&W ROOTBEER 20OZ11,PB,,7-UP,10001096,7-UP,10001096,
A&W ZERO SUGAR 20OZ,078000053401,11,A&W ZERO SUGAR 20OZ11,PB,,7-UP,10001122,7-UP,10001122,
ABSOPURE WATER 20OZ,046121262422,11,ABSOPURE WATER 20OZ11,PB,,GRIFFIN,2623,GRIFFIN,2623,
Alani Blue Slushie 12OZ,810030510154,11,Alani Blue Slushie 12OZ11,PB,,PEPSI,333536,PEPSI,333536,
Alani Breeze Berry 12OZ,810030511052,11,Alani Breeze Berry 12OZ11,PB,,PEPSI,333531,PEPSI,333531,
Alani Cherry Slush 12OZ,810030512257,11,Alani Cherry Slush 12OZ11,PB,,PEPSI,333534,PEPSI,333534,
Alani Cotton Candy 12OZ,810030519171,11,Alani Cotton Candy 12OZ11,PB,,PEPSI,333532,PEPSI,333532,
Alani Hawaiian 12OZ,850645008387,11,Alani Hawaiian 12OZ11,PB,,PEPSI,333509,PEPSI,333509,
ALANI NU ENERGY LTO,LTO,11,ALANI NU ENERGY LTO11,PB,LTO,PEPSI,-,PEPSI,-,
Alani Orange 12OZ,850645008363,11,Alani Orange 12OZ11,PB,,PEPSI,333517,PEPSI,333517,
Alani Peach 12OZ,810030513827,11,Alani Peach 12OZ11,PB,,PEPSI,333510,PEPSI,333510,
Alani Pink Slush 12OZ,810030518501,11,Alani Pink Slush 12OZ11,PB,,PEPSI,333518,PEPSI,333518,
Alani Purple Cotton Candy 12OZ,810175042244,11,Alani Purple Cotton Candy 12OZ11,PB,LTO,PEPSI,42244,PEPSI,42244,Placeholder VIN
Alani Stardust 12OZ,810030510024,11,Alani Stardust 12OZ11,PB,,PEPSI,333535,PEPSI,333535,
Alani Strawberry Sunrise 12OZ,810030519133,11,Alani Strawberry Sunrise 12OZ11,PB,,PEPSI,334628,PEPSI,334628,
AMP 16OZ,012000016431,11,AMP 16OZ11,PB,,PEPSI,150000,PEPSI,150000,
AQUAFINA 1LT,012000001574,11,AQUAFINA 1LT11,PB,,PEPSI,32065,PEPSI,32065,
AQUAFINA 20OZ,012000001598,11,AQUAFINA 20OZ11,PB,,PEPSI,31321,PEPSI,31321,
ARIZONA ARNOLD PALMER TEA 24OZ,613008719302,11,ARIZONA ARNOLD PALMER TEA 24OZ11,PB,,GRIFFIN,1947,GRIFFIN,1947,
ARIZONA ENERGY 24OZ,613008718459,11,ARIZONA ENERGY 24OZ11,PB,,GRIFFIN,2577,GRIFFIN,2577,
ARIZONA GREEN TEA 24OZ,613008756420,11,ARIZONA GREEN TEA 24OZ11,PB,,GRIFFIN,2543,GRIFFIN,2543,
ARIZONA MUCHO MANGO 23OZ,613008756482,11,ARIZONA MUCHO MANGO 23OZ11,PB,,GRIFFIN,7966,GRIFFIN,7966,
ARIZONA PALMER ZERO 24OZ,613008728571,11,ARIZONA PALMER ZERO 24OZ11,PB,,GRIFFIN,2685,GRIFFIN,2685,
ARIZONA RASPBERRY 24OZ,613008735470,11,ARIZONA RASPBERRY 24OZ11,PB,,GRIFFIN,2579,GRIFFIN,2579,
