Description,UPC,Store,LOOKUP,CAT,"In Set, LTO, Sub",SOUTH VENDOR,S VIN,NORTH VENDOR,N VIN,Comments
LIFEWTR 1LT,012000161155,21,LIFEWTR 1LT21,PB,,PEPSI,159298,PEPSI,159298,
LIFEWTR 700ml,012000161162,21,LIFEWTR 700ml21,PB,,PEPSI,159301,PEPSI,159301,
LIQUID DEATH MTN DONT 19OZ,840442200886,21,LIQUID DEATH MTN DONT 19OZ21,PB,,GRIFFIN,46528,GRIFFIN,46528,
LIQUID DEATH SPARKLING WATER 19OZ,850031700185,21,LIQUID DEATH SPARKLING WATER 19OZ21,PB,,GRIFFIN,7638,GRIFFIN,7638,
MELLO YELLO 20OZ,049000016796,21,MELLO YELLO 20OZ21,PB,,COKE,102782,COKE,102782,
MINUTE MAID APPLE JUICE 12OZ,025000061516,21,MINUTE MAID APPLE JUICE 12OZ21,PB,,COKE,154900,COKE,154900,
MINUTE MAID CRAN GRAPE 15OZ,025000056062,21,MINUTE MAID CRAN GRAPE 15OZ21,PB,,COKE,6062,COKE,6062,
MINUTE MAID ORANGE JUICE 12OZ,025000061530,21,MINUTE MAID ORANGE JUICE 12OZ21,PB,,COKE,154898,COKE,154898,
MONSTER 16OZ,070847811169,21,MONSTER 16OZ21,PB,,COKE,133129,COKE,133129,
MONSTER 19OZ,070847892359,21,MONSTER 19OZ21,PB,,COKE,412032,COKE,412032,
MONSTER 24OZ,070847811244,21,MONSTER 24OZ21,PB,,COKE,133145,COKE,133145,
MONSTER BAD APPLE 16OZ,070847899570,21,MONSTER BAD APPLE 16OZ21,PB,,COKE,413895,COKE,413895,
MONSTER BLUE 16OZ,070847899334,21,MONSTER BLUE 16OZ21,PB,,COKE,413892,COKE,413892,
MONSTER ENERGY ZERO 24OZ,070847898375,21,MONSTER ENERGY ZERO 24OZ21,PB,,COKE,8375,COKE,8375,
MONSTER IMPORT 18OZ,070847819509,21,MONSTER IMPORT 18OZ21,PB,,COKE,147198,COKE,147198,
MONSTER JAVA KB MOCHA 15OZ,070847898436,21,MONSTER JAVA KB MOCHA 15OZ21,PB,,COKE,413306,COKE,413306,
MONSTER JAVA KB VANILLA 15OZ,070847898405,21,MONSTER JAVA KB VANILLA 15OZ21,PB,,COKE,413346,COKE,413346,
MONSTER JAVA LOCA MOCA 15OZ,070847812715,21,MONSTER JAVA LOCA MOCA 15OZ21,PB,,COKE,134929,COKE,134929,
MONSTER JAVA MEAN BEAN 15OZ,070847812609,21,MONSTER JAVA MEAN BEAN 15OZ21,PB,,COKE,134926,COKE,134926,
MONSTER JUICE GRAPE 16OZ,070847899433,21,MONSTER JUICE GRAPE 16OZ21,PB,,COKE,414021,COKE,414021,
MONSTER JUICE RIO PUNCH 16OZ,070847896159,21,MONSTER JUICE RIO PUNCH 16OZ21,PB,,COKE,412701,COKE,412701,
MONSTER JUICE VIKING BERRY 16OZ,070847898320,21,MONSTER JUICE VIKING BERRY 16OZ21,PB,,COKE,413305,COKE,413305,
MONSTER LO CARB 16OZ,070847811268,21,MONSTER LO CARB 16OZ21,PB,,COKE,133131,COKE,133131,
MONSTER MANGO LOCO 16OZ,070847029014,21,MONSTER MANGO LOCO 16OZ21,PB,,COKE,153389,COKE,153389,
MONSTER NITRO 16OZ,070847037750,21,MONSTER NITRO 16OZ21,PB,,COKE,410844,COKE,410844,
MONSTER ORANGE DREAM 16OZ,070847899402,21,MONSTER ORANGE DREAM 16OZ21,PB,,COKE,413893,COKE,413893,
MONSTER PACIFIC PUNCH 16OZ,070847031918,21,MONSTER PACIFIC PUNCH 16OZ21,PB,,COKE,155811,COKE,155811,
MONSTER PUNK PUNCH 16OZ,070847899617,21,MONSTER PUNK PUNCH 16OZ21,PB,,COKE,414001,COKE,414001,
MONSTER REHAB LEMONADE TEA 15.5OZ,070847003229,21,MONSTER REHAB LEMONADE TEA 15.5OZ21,PB,,COKE,138036,COKE,138036,
MONSTER REHAB PEACH TEA 15.5OZ,070847021520,21,MONSTER REHAB PEACH TEA 15.5OZ21,PB,,COKE,150885,COKE,150885,
MONSTER STRAWBERRY SHOT 16OZ,070847899693,21,MONSTER STRAWBERRY SHOT 16OZ21,PB,,COKE,413994,COKE,413994,
MONSTER ULTRA GUAVA 16OZ,070847898146,21,MONSTER ULTRA GUAVA 16OZ21,PB,,COKE,413146,COKE,413146,
MONSTER ULTRA HAWAIIN 16OZ,070847898245,21,MONSTER ULTRA HAWAIIN 16OZ21,PB,,COKE,413270,COKE,413270,
MONSTER ULTRA PARADISE 16OZ,070847033080,21,MONSTER ULTRA PARADISE 16OZ21,PB,,COKE,156530,COKE,156530,
MONSTER ULTRA PEACHY 16OZ,070847029427,21,MONSTER ULTRA PEACHY 16OZ21,PB,,COKE,411462,COKE,411462,
MONSTER ULTRA RUBY RED 16OZ,070847896180,21,MONSTER ULTRA RUBY RED 16OZ21,PB,,COKE,412633,COKE,412633,
MONSTER ULTRA STRAWBERRY 16OZ,070847891857,21,MONSTER ULTRA STRAWBERRY 16OZ21,PB,,COKE,412024,COKE,412024,
MONSTER ULTRA SUNRISE 16OZ,070847020905,21,MONSTER ULTRA SUNRISE 16OZ21,PB,,COKE,150706,COKE,150706,
MONSTER ULTRA VIOLET 16OZ,070847027324,21,MONSTER ULTRA VIOLET 16OZ21,PB,,COKE,153225,COKE,153225,
MONSTER ULTRA ZERO 16OZ,070847012474,21,MONSTER ULTRA ZERO 16OZ21,PB,,COKE,145105,COKE,145105,
MONSTER ULTRA ZERO 24OZ,070847017707,21,MONSTER ULTRA ZERO 24OZ21,PB,,COKE,147322,COKE,147322,
MONSTER WILD PASSION 16OZ,070847899488,21,MONSTER WILD PASSION 16OZ21,PB,,COKE,413894,COKE,413894,
MONSTER ZERO 19OZ,070847892519,21,MONSTER ZERO 19OZ21,PB,,COKE,412034,COKE,412034,
MONSTER ZERO NORRIS 16OZ,070847900207,21,MONSTER ZERO NORRIS 16OZ21,PB,,COKE,414009,COKE,414009,
MONSTER ZERO STRAWBERRY SHOT 16OZ,070847899778,21,MONSTER ZERO STRAWBERRY SHOT 16OZ21,PB,,COKE,413995,COKE,413995,
MONSTER ZERO SUGAR 16OZ,070847000037,21,MONSTER ZERO SUGAR 16OZ21,PB,,COKE,137400,COKE,137400,
MR PIBB 20OZ,049000561098,21,MR PIBB 20OZ21,PB,,COKE,413871,COKE,413871,
MR PIBB ZERO SUGAR 20OZ,049000561142,21,MR PIBB ZERO SUGAR 20OZ21,PB,,COKE,413873,COKE,413873,
MTN DEW 16OZ,012000027215,21,MTN DEW 16OZ21,PB,,PEPSI,132258,PEPSI,132258,
MTN DEW 1LT,012000002977,21,MTN DEW 1LT21,PB,,PEPSI,59956,PEPSI,59956,
MTN DEW 20OZ,012000001314,21,MTN DEW 20OZ21,PB,,PEPSI,131,PEPSI,131,
MTN DEW BAJA BLAST 20OZ,012000130274,21,MTN DEW BAJA BLAST 20OZ21,PB,,PEPSI,142909,PEPSI,142909,
MTN DEW BAJA CABO 20OZ,012000240751,21,MTN DEW BAJA CABO 20OZ21,PB,,PEPSI,325813,PEPSI,325813,
MTN DEW BAJA CABO ZERO 20OZ,012000250637,21,MTN DEW BAJA CABO ZERO 20OZ21,PB,,PEPSI,331230,PEPSI,331230,
MTN DEW BAJA ZERO 20OZ,012000183386,21,MTN DEW BAJA ZERO 20OZ21,PB,,PEPSI,169697,PEPSI,169697,
MTN DEW CODE RED 20OZ,012000002243,21,MTN DEW CODE RED 20OZ21,PB,,PEPSI,66562,PEPSI,66562,
MTN DEW DIET 1LT,012000003189,21,MTN DEW DIET 1LT21,PB,,PEPSI,105526,PEPSI,105526,
MTN DEW DIET 20OZ,012000001345,21,MTN DEW DIET 20OZ21,PB,,PEPSI,5876,PEPSI,5876,
MTN DEW DIRTY 20OZ,012000250873,21,MTN DEW DIRTY 20OZ21,PB,,PEPSI,337428,PEPSI,337428,
MTN DEW DIRTY ZERO 20OZ,012000250910,21,MTN DEW DIRTY ZERO 20OZ21,PB,,PEPSI,337431,PEPSI,337431,
MTN DEW LIVE WIRE 20OZ,012000811319,21,MTN DEW LIVE WIRE 20OZ21,PB,,PEPSI,85028,PEPSI,85028,
MTN DEW VOLTAGE 20OZ,012000028625,21,MTN DEW VOLTAGE 20OZ21,PB,,PEPSI,106751,PEPSI,106751,
MTN DEW ZERO SUGAR 20OZ,012000191435,21,MTN DEW ZERO SUGAR 20OZ21,PB,,PEPSI,173688,PEPSI,173688,
MUG ROOTBEER 20OZ,012000009105,21,MUG ROOTBEER 20OZ21,PB,,PEPSI,19685,PEPSI,19685,
MUG ROOTBEER ZERO 20OZ,012000001406,21,MUG ROOTBEER ZERO 20OZ21,PB,,PEPSI,205397,PEPSI,205397,
MUSCLE MILK PRO CHOCOLATE 14OZ,876063002806,21,MUSCLE MILK PRO CHOCOLATE 14OZ21,PB,,PEPSI,2806,PEPSI,2806,
MUSCLE MILK PRO VANILLA 14OZ,052000068108,21,MUSCLE MILK PRO VANILLA 14OZ21,PB,,PEPSI,2813,PEPSI,2813,
NAKED SMOOTHIE GREEN MACHINE 15OZ,082592720153,21,NAKED SMOOTHIE GREEN MACHINE 15OZ21,PB,,PEPSI,129395,PEPSI,129395,
NAKED SMOOTHIE STRAWBERRY BANANA 15OZ,082592194152,21,NAKED SMOOTHIE STRAWBERRY BANANA 15OZ21,PB,,PEPSI,129372,PEPSI,129372,
NOS ENERGY 16OZ,815154020008,21,NOS ENERGY 16OZ21,PB,,COKE,152196,COKE,152196,
NOS ENERGY 24OZ,815154020077,21,NOS ENERGY 24OZ21,PB,,COKE,151988,COKE,151988,
NOS ENERGY GRAPE 16OZ,815154020091,21,NOS ENERGY GRAPE 16OZ21,PB,,COKE,152197,COKE,152197,
PEACE TEA PEACH 16OZ,049000557732,21,PEACE TEA PEACH 16OZ21,PB,,COKE,413111,COKE,413111,
PEACE TEA RAZZLEBERRY 16OZ,049000557695,21,PEACE TEA RAZZLEBERRY 16OZ21,PB,,COKE,413109,COKE,413109,
PEPSI 16OZ,012000030284,21,PEPSI 16OZ21,PB,,PEPSI,132261,PEPSI,132261,
PEPSI 1LT,012000002946,21,PEPSI 1LT21,PB,,PEPSI,59942,PEPSI,59942,
PEPSI 20OZ,012000001291,21,PEPSI 20OZ21,PB,,PEPSI,5866,PEPSI,5866,
PEPSI CHERRY CREAM 20OZ,012000240805,21,PEPSI CHERRY CREAM 20OZ21,PB,,PEPSI,325520,PEPSI,325520,
PEPSI DIET 1LT,012000171758,21,PEPSI DIET 1LT21,PB,,PEPSI,166132,PEPSI,166132,
PEPSI DIET 20OZ,012000171741,21,PEPSI DIET 20OZ21,PB,,PEPSI,166134,PEPSI,166134,
PEPSI WILD CHERRY 16OZ,012000140709,21,PEPSI WILD CHERRY 16OZ21,PB,,PEPSI,144963,PEPSI,144963,
PEPSI WILD CHERRY 20OZ,012000005596,21,PEPSI WILD CHERRY 20OZ21,PB,,PEPSI,31104,PEPSI,31104,
PEPSI WILD CHERRY ZERO 20OZ,012000170751,21,PEPSI WILD CHERRY ZERO 20OZ21,PB,,PEPSI,193033,PEPSI,193033,
PEPSI ZERO 20OZ,012000018800,21,PEPSI ZERO 20OZ21,PB,,PEPSI,102979,PEPSI,102979,
POWERADE FRUIT PUNCH 28OZ,049000079388,21,POWERADE FRUIT PUNCH 28OZ21,PB,,COKE,156843,COKE,156843,
POWERADE GRAPE 28OZ,049000079401,21,POWERADE GRAPE 28OZ21,PB,,COKE,156848,COKE,156848,
POWERADE LEMON LIME 28OZ,049000079371,21,POWERADE LEMON LIME 28OZ21,PB,,COKE,156837,COKE,156837,
POWERADE MOUNTAIN BERRY BLAST 28OZ,049000079357,21,POWERADE MOUNTAIN BERRY BLAST 28OZ21,PB,,COKE,156834,COKE,156834,
POWERADE ORANGE 28OZ,049000079364,21,POWERADE ORANGE 28OZ21,PB,,COKE,156853,COKE,156853,
POWERADE STRAWBERRY ZERO 28OZ,049000554175,21,POWERADE STRAWBERRY ZERO 28OZ21,PB,,COKE,412494,COKE,412494,
POWERADE ZERO GRAPE 28OZ,049000079319,21,POWERADE ZERO GRAPE 28OZ21,PB,,COKE,156850,COKE,156850,
POWERADE ZERO MIXED BERRY 28OZ,049000079326,21,POWERADE ZERO MIXED BERRY 28OZ21,PB,,COKE,156832,COKE,156832,
PRIME CHERRY FREEZE 16OZ,810116123445,21,PRIME CHERRY FREEZE 16OZ21,PB,,JPO,93032,ALPENA,3225,
